x,y,CrownAreaError,PredictedArea,TrueArea
241150.62,707073.01,2.0517205474197224,28.38100109100342,9.3
246552.49,697604.6,0.27460773245802206,29.886161422729494,41.2
243774.52,698757.5,0.490594095997996,22.95514907836914,15.4
244549.9,698602.43,0.07348951909214396,22.65062885284424,21.1
244176.31,698724.16,0.022783090636998696,28.63245544433594,29.3
245901.19,695461.67,1.2377743234439769,21.930188369750976,9.8
244416.8,695665.64,1.0317344380848443,27.225241470336915,13.4
241051.91,697491.42,0.24321955424846098,25.654857110977172,33.9
241351.41,706459.53,0.13892894375080972,33.75398540496826,39.2
248005.47,696104.38,1.6302302967418325,26.03927993774414,9.9
243155.44,701404.85,0.810362203915914,21.724346446990968,12.0
242250.12,698622.46,0.8105659061008028,24.44263973236084,13.5
249801.33,693273.09,0.08820907124933207,23.07003231048584,21.2
242294.86,700205.51,0.019647365961319385,30.587002182006835,31.2
241969.13,701597.84,0.4278881405823983,21.275533294677736,14.9
249555.7,695758.46,0.1602321834099001,28.541711711883544,24.6
249982.31,697627.28,5.726290789517488,29.595679473876952,4.4
241310.5,699461.1,0.031288909912109496,24.750933837890628,24.0
243509.95,705745.24,6.097165760241056,26.969229888916015,3.8
247938.44,696385.28,0.38472555750641385,22.27293481826782,36.2
242609.42,700330.5,0.31750140105478863,22.265773677825926,16.9
249586.26,694467.64,0.463139708145805,24.69557342529297,46.0
244288.02,697893.1,0.08431587008092678,24.815039920806885,27.1
246099.63,698895.08,0.23383785997118264,20.72847604751587,16.8
244120.75,700957.46,0.19728217439023313,26.810775375366212,33.4
247147.51,697620.14,2.286629302592217,25.964371490478516,7.9
242106.06,703039.28,0.4064416666643335,25.87914333343506,43.6
248272.34,696878.87,0.3875897924105326,26.641724014282225,19.2
247366.08,695696.1,0.26502975506728954,32.70617589950562,44.5
243570.17,698224.69,0.24711787031822083,22.81232852935791,30.3
246070.63,698568.93,0.2129439091777422,30.44489212036133,25.1
248580.62,699673.07,0.2595471027783325,29.69216117858887,40.1
247503.93,699072.6,1.1092436195078474,38.17730951309204,18.1
249010.0,693984.98,0.382493044422791,31.244342803955078,22.6
245046.36,695952.41,0.48316114711232633,27.960981941223146,54.1
248284.26,696270.31,0.3355229628180951,25.050784301757815,37.7
247219.58,698108.27,0.06372253485188088,24.146501541137695,22.7
249964.91,697754.64,1.211951894667542,22.783104515075685,10.3
247767.05,695427.93,0.3919589001199474,25.61204376220703,18.4
243191.41,699311.67,0.3803046702308737,28.691893768310546,46.3
244441.93,698681.19,0.331393790129878,27.559851455688474,20.7
247588.97,699657.19,0.38120158910751334,22.099225425720213,16.0
243434.08,700036.3,0.10282297180470648,22.828435516357423,20.7
241532.48,699650.78,1.9114178502282426,25.038193511962888,8.6
244877.17,695331.61,2.3273122575547958,23.95664825439453,7.2
248672.16,697859.91,0.42631031531655333,20.76756658554077,36.2
241480.13,699651.21,0.18760947947121845,26.48393096923828,32.6
246193.53,699620.79,1.8889000632546167,28.600110626220705,9.9
246280.67,695725.07,0.03770545359407914,18.47115707397461,17.8
