x,y,HeightError,PredictedHeight,TrueHeight
241859.02,701242.23,0.10892622130635983,8.024119,9.005
247551.4,697282.96,0.047271484326679984,8.424026,8.842
247179.18,697563.15,0.030124970798431898,18.154922,17.624
244859.5,696431.08,0.03895721798578418,7.6748877,7.986
244690.77,698966.33,0.040833530450384924,6.008219,6.264
243841.75,703957.09,0.11434464921245709,9.27724,10.475
242108.22,701089.41,0.4953276681118324,6.1570024,12.2
244004.23,702898.51,0.02224390761657328,11.815205,12.084
249769.88,698586.52,0.04204082898129494,25.233603,26.341
246192.18,698947.75,0.4445913279453614,6.619916,11.919
244256.27,700499.15,0.3520513671421642,10.8168545,16.694
242805.73,699152.04,0.13310252317347365,13.516665,15.592
248361.87,695039.17,0.11253986833782804,7.481289,8.43
247098.21,697911.12,0.09241514928467622,7.223468,7.959
248002.27,699056.04,0.028095651610791098,31.780493,30.912
245483.97,695132.26,0.00730988925183294,18.35923,18.226
244372.02,696165.6,0.2081025562077765,8.726125,7.223
244688.91,700491.87,0.11399804528721985,29.222116,32.982
243307.35,705265.89,0.1260104334028563,12.342481,14.122
243243.72,704577.38,0.029003193781462502,10.421744,10.128
244784.37,699620.25,0.07209729957325917,6.949991,7.49
245452.41,697600.5,0.04639486140509688,8.383716,8.012
243636.74,708387.75,0.040053254300222774,10.285087,9.889
242561.13,700542.52,0.10488470281282204,22.689383,25.348
243765.02,702485.38,0.24641405807514957,6.954091,9.228
248977.74,699198.93,0.06577352650532342,20.900885,19.611
244266.99,700359.48,0.3140235527332883,8.856519,6.74
243609.53,698241.11,0.09736752793098143,11.785672,13.057
246357.07,696509.3,0.45379343131953537,6.4344897,4.426
243204.96,698029.88,0.11315351992605768,11.24344,12.678
245460.09,695540.67,0.1981603690051325,11.964829,9.986
243141.95,698720.7,0.07658021887063915,30.118408,27.976
244495.45,695726.76,0.26387928291251034,6.081787,4.812
249001.18,693940.03,0.17034149918048425,16.921715,20.396
242002.37,702436.47,0.008351376407515038,8.834598,8.909
249984.68,698040.19,0.09874006018616359,15.779006,14.361
249772.4,699063.3,0.10652359634922627,9.842527,8.895
247259.03,695648.54,0.13757723090847374,8.09125,9.382
244807.97,695598.33,0.016187785252944467,11.5560875,11.372
244588.61,700033.25,0.502253941525156,6.8166323,13.695
243893.13,698781.29,0.014706912724711639,22.969152,23.312
247993.81,695996.43,0.04367468546733994,8.515342,8.159
245588.08,699892.22,0.21007827304953536,9.683046,8.002
243193.38,702257.13,0.23598635745707355,6.172516,4.994
249599.21,695625.53,0.1255803364839166,21.7721,19.343
249349.54,699581.17,0.050310903173867695,24.653948,23.473
244359.36,699007.39,0.06866900690213806,20.115557,18.823
241540.72,699443.79,0.043298711064888765,16.115835,15.447
241972.17,701144.21,0.02030238105328695,10.315257,10.11
243489.22,703458.08,0.23229358836174424,5.5921483,4.538
241510.58,698035.52,0.003521005730879934,11.833188,11.875
248303.89,697538.15,0.03565988813880226,22.349546,23.176
243332.04,703365.62,0.15317033135678393,10.020535,11.833
243145.81,701451.87,0.4314785073358161,7.051463,4.926
248137.44,694414.67,0.0786853508354134,17.664366,19.173
249027.09,697564.29,0.18072176596823397,11.329799,13.829
244771.96,698300.01,0.0034484321922137683,22.343786,22.267
247782.36,696376.71,0.1264746600059098,11.504329,13.17
249902.93,699767.09,0.11455638082839395,10.27621,9.22
243758.16,700042.91,0.07310717934730629,24.283342,22.629
244246.87,700841.88,0.028335587318974627,8.786761,9.043
244747.51,695403.61,0.10217255649069268,11.285145,10.239
243491.49,702134.0,0.19307929394291903,7.7884216,6.528
242529.73,699724.51,0.06055904665787183,22.288237,23.725
248608.85,699597.44,0.05052123324846833,17.163416,16.338
246127.93,696331.05,0.25148350761673494,12.435853,16.614
246065.13,698369.85,0.22252290915008258,6.6639724,5.451
247346.58,699906.31,0.11183150277545295,11.275299,12.695
246283.98,698551.67,0.1373977915587328,10.230893,8.995
248981.54,696626.45,0.02957030361782046,11.850354,11.51
244078.73,698732.89,0.03485404013196674,26.966227,26.058
246137.79,698361.87,0.17000990225541335,7.214274,8.692
241276.28,706637.67,0.17215920985641067,13.645105,11.641
249723.01,693276.08,0.044229812170626936,8.823742,8.45
243508.15,699407.29,0.034320775976916566,15.690646,15.17
247760.15,697096.44,0.04423642287237815,11.86007,12.409
242950.55,699352.84,0.06980338453878406,11.447,12.306
248039.26,694060.15,0.13444970665596398,14.206714,12.523
242505.14,700396.82,0.01045472550036096,17.93052,17.745
247948.88,695888.39,0.10783519291256725,7.8778152,8.83
242468.25,705282.81,0.015736028845280383,14.194911,13.975
241402.63,708053.77,0.14118888259602677,15.770349,18.363
247885.13,697890.95,0.006111746955675785,25.950422,26.11
242899.85,698940.09,0.018603452214975086,17.428621,17.759
241368.0,698308.57,0.17099952001810592,6.816042,8.222
244181.54,700250.67,0.02518476646715651,26.569714,25.917
246247.44,696483.38,0.009256167899343443,10.927217,10.827
242091.37,705948.7,0.5710758746791467,6.9550047,16.215
249858.42,699720.88,0.08017491322174775,10.738038,11.674
246725.64,699012.2,0.22328947750904096,7.263797,9.352
248821.81,696990.7,0.008569605653422567,15.320172,15.19
241823.06,699610.82,0.03365283065320031,13.688664,13.243
248359.28,697377.88,0.07655499840347793,11.532905,12.489
249834.16,699353.35,0.2268521255816439,10.181584,13.169
246457.11,699611.47,0.22714059248506863,9.057139,11.719
249142.37,694059.83,0.03262721807791237,20.683523,20.03
246003.01,698568.78,0.06473505840484708,8.7634325,9.37
249991.46,697687.52,0.019772041526025033,22.374683,22.826
248803.02,699677.04,0.003122081502867043,8.67199,8.645
244646.23,701800.32,0.0003618030435828178,30.422003,30.411
243539.29,701900.04,0.07920459682473194,8.992488,9.766
246105.29,699733.19,0.07508014240829376,6.8129597,7.366
249309.27,693599.52,0.16106710889018977,18.056353,21.523
243616.62,698707.88,0.1131411414134433,8.464181,9.544
244456.74,695760.95,0.13368762547177085,6.9175043,7.985
244613.57,700208.94,0.1600730565752889,14.0293,16.703
242670.96,705365.16,0.14968001060352276,11.171504,13.138
242761.49,706204.71,0.1570799448872397,5.903422,5.102
248926.58,699361.96,0.06238483392249475,7.9903564,8.522
244446.09,701108.55,0.4195326929354241,6.300392,10.854
243454.01,699328.0,0.005836916202128428,22.857798,22.992
244785.76,695383.77,0.008991812967892691,10.656311,10.753
249575.79,696791.88,0.22178431130274173,14.50594,18.64
248646.44,698456.37,0.03589590727862962,12.055757,11.638
246206.7,699641.92,0.35729613798537146,8.498473,13.223
242180.09,698520.47,0.07545818156333418,9.199191,9.95
247892.37,699866.21,0.021207950392311208,22.000904,21.544
243264.33,701064.92,0.08997812309824899,14.574,16.015
245658.71,697915.41,0.5001908441106157,6.596981,13.199
243445.1,703168.44,0.066413875046472,5.6136026,5.264
249078.5,696831.78,0.03469370878820046,11.838965,11.442
244626.43,695536.75,0.32475413985209495,6.7747927,5.114
244019.79,702679.27,0.10307696781356443,11.476413,10.404
247754.71,696043.0,0.048131652260288336,9.043701,9.501
243093.63,707528.02,0.07034163713840366,6.9055023,7.428
247645.37,696109.44,0.15465717053328373,15.866144,13.741
246463.43,698961.54,0.09500483090753031,9.457557,8.637
243918.91,702111.6,0.40184522482181906,7.0400667,5.022
248847.63,698193.7,0.03095158931353109,14.224039,13.797
248899.38,697549.81,0.013521814244207075,7.370965,7.472
244360.47,701466.23,0.23946997175301848,7.4938354,6.046
241532.59,708216.07,0.018814294913817694,16.411312,16.726
245170.91,697875.36,0.1159604541403177,12.586071,14.237
244263.85,698011.25,0.3643984460481323,7.262693,5.323
243395.56,703467.82,0.2650517000566842,7.5097017,10.218
246160.05,699013.53,0.017944857494058376,13.791,14.043
241664.76,699851.41,0.003605903912450672,27.376362,27.278
249748.08,694468.33,0.19327189687822685,18.8968,23.424
248771.54,693914.59,0.00037979261287042005,16.583296,16.577
249200.25,699106.98,0.12091231712357631,23.059408,20.572
242503.81,705648.76,0.00010740308870025282,9.764049,9.763
244702.72,698221.85,0.015248414727412478,29.067577,28.631
246515.74,696029.23,0.28796206681482533,5.814502,8.166
249337.09,697859.1,0.046868366890264315,19.305681,20.255
246432.62,695975.63,0.17244788267214084,6.9256496,5.907
246664.63,698581.14,0.13507949275603162,9.656837,11.165
249553.92,699648.2,0.22361622844190224,8.952481,11.531
243901.02,702510.07,0.09825412064422792,11.386699,10.368
249789.57,697473.09,0.10164758809830554,9.272568,8.417
248671.85,696806.38,0.11068194331804507,11.08446,12.464
244649.24,695418.6,0.09277560582660258,7.9100895,8.719
244684.24,695449.29,0.10312438827008868,11.715886,13.063
