"BehaviorSpace results (NetLogo 6.3.0)"
"farming_climate_change.nlogo"
"RCP-experiment-single-org"
"11/25/2024 11:31:33:580 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","64","0","64"
"[run number]","max-alt-cost-coeff","SLRrate","green-org","starting-temp","look-ahead-blue","dev-discount-red","time-btw-buy-blue","blue-org","run-time","profit-threshold-red","sell-bonus-red","dev-discount-blue","time-btw-buy-red","dev-discount-green","max-base-cost","time-btw-buy-green","look-ahead-green","profit-threshold-blue","profit-threshold-green","look-ahead-red","max-altitude","sell-bonus-blue","sell-bonus-green","red-org","min-base-cost","[step]","sum [money] of farm-orgs with [org-color = red]","sum [farm-agri-output] of farms with [color = red]","farm-coordinates","current-step"
"1","2","0.0088","false","26","80","0.48","15","false","300","0","1","0","15","0","10000","15","20","0","0","30","25","1","1","true","5000","30","8093.782987845985","82.82794354086258","[[27 20] [55 11]]","30"
"1","2","0.0088","false","26","80","0.48","15","false","300","0","1","0","15","0","10000","15","20","0","0","30","25","1","1","true","5000","31","1678.4097948272256","131.38092156870886","[[55 11] [27 20] [46 62]]","31"
"1","2","0.0088","false","26","80","0.48","15","false","300","0","1","0","15","0","10000","15","20","0","0","30","25","1","1","true","5000","32","2991.7191316026356","131.330933677541","[[55 11] [27 20] [46 62]]","32"
"1","2","0.0088","false","26","80","0.48","15","false","300","0","1","0","15","0","10000","15","20","0","0","30","25","1","1","true","5000","33","4304.52862691989","131.28094953172538","[[55 11] [27 20] [46 62]]","33"
"1","2","0.0088","false","26","80","0.48","15","false","300","0","1","0","15","0","10000","15","20","0","0","30","25","1","1","true","5000","34","5616.838318216149","131.2309691296259","[[46 62] [27 20] [55 11]]","34"
"1","2","0.0088","false","26","80","0.48","15","false","300","0","1","0","15","0","10000","15","20","0","0","30","25","1","1","true","5000","35","6928.648242912215","131.18099246960668","[[46 62] [27 20] [55 11]]","35"
"1","2","0.0088","false","26","80","0.48","15","false","300","0","1","0","15","0","10000","15","20","0","0","30","25","1","1","true","5000","36","8239.958438412537","131.13101955003222","[[27 20] [55 11] [46 62]]","36"
"1","2","0.0088","false","26","80","0.48","15","false","300","0","1","0","15","0","10000","15","20","0","0","30","25","1","1","true","5000","37","9550.768942105211","131.0810503692674","[[55 11] [27 20] [46 62]]","37"
"1","2","0.0088","false","26","80","0.48","15","false","300","0","1","0","15","0","10000","15","20","0","0","30","25","1","1","true","5000","38","10861.079791361984","131.03108492567728","[[46 62] [55 11] [27 20]]","38"
"1","2","0.0088","false","26","80","0.48","15","false","300","0","1","0","15","0","10000","15","20","0","0","30","25","1","1","true","5000","39","12170.89102353826","130.9811232176274","[[27 20] [46 62] [55 11]]","39"
"1","2","0.0088","false","26","80","0.48","15","false","300","0","1","0","15","0","10000","15","20","0","0","30","25","1","1","true","5000","40","13480.202675973094","130.93116524348346","[[55 11] [27 20] [46 62]]","40"
"1","2","0.0088","false","26","80","0.48","15","false","300","0","1","0","15","0","10000","15","20","0","0","30","25","1","1","true","5000","41","14789.014785989211","130.88121100161172","[[46 62] [55 11] [27 20]]","41"
"1","2","0.0088","false","26","80","0.48","15","false","300","0","1","0","15","0","10000","15","20","0","0","30","25","1","1","true","5000","42","16097.327390892995","130.83126049037847","[[46 62] [27 20] [55 11]]","42"
"1","2","0.0088","false","26","80","0.48","15","false","300","0","1","0","15","0","10000","15","20","0","0","30","25","1","1","true","5000","43","17405.1405279745","130.78131370815058","[[46 62] [55 11] [27 20]]","43"
"1","2","0.0088","false","26","80","0.48","15","false","300","0","1","0","15","0","10000","15","20","0","0","30","25","1","1","true","5000","44","18712.45423450745","130.73137065329513","[[46 62] [27 20] [55 11]]","44"
"1","2","0.0088","false","26","80","0.48","15","false","300","0","1","0","15","0","10000","15","20","0","0","30","25","1","1","true","5000","45","20019.268547749245","130.68143132417947","[[46 62] [27 20] [55 11]]","45"
"1","2","0.0088","false","26","80","0.48","15","false","300","0","1","0","15","0","10000","15","20","0","0","30","25","1","1","true","5000","46","16834.360534940955","186.07076908525534","[[50 35] [55 11] [46 62] [27 20]]","46"
"1","2","0.0088","false","26","80","0.48","15","false","300","0","1","0","15","0","10000","15","20","0","0","30","25","1","1","true","5000","47","18694.375019596435","186.00144846554784","[[55 11] [27 20] [46 62] [50 35]]","47"
"1","2","0.0088","false","26","80","0.48","15","false","300","0","1","0","15","0","10000","15","20","0","0","30","25","1","1","true","5000","48","20553.696351258914","185.93213316624798","[[27 20] [55 11] [50 35] [46 62]]","48"
"1","2","0.0088","false","26","80","0.48","15","false","300","0","1","0","15","0","10000","15","20","0","0","30","25","1","1","true","5000","49","22412.324583109374","185.86282318504587","[[27 20] [55 11] [46 62] [50 35]]","49"
"1","2","0.0088","false","26","80","0.48","15","false","300","0","1","0","15","0","10000","15","20","0","0","30","25","1","1","true","5000","50","24270.259768305692","185.79351851963193","[[50 35] [55 11] [46 62] [27 20]]","50"
"1","2","0.0088","false","26","80","0.48","15","false","300","0","1","0","15","0","10000","15","20","0","0","30","25","1","1","true","5000","51","26127.501959982666","185.7242191676973","[[27 20] [46 62] [50 35] [55 11]]","51"
"1","2","0.0088","false","26","80","0.48","15","false","300","0","1","0","15","0","10000","15","20","0","0","30","25","1","1","true","5000","52","27984.051211251997","185.65492512693322","[[55 11] [50 35] [46 62] [27 20]]","52"
