"BehaviorSpace results (NetLogo 6.3.0)"
"farming_climate_change.nlogo"
"RCP-experiment-1"
"11/24/2024 16:04:08:734 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","64","0","64"
"[run number]","max-alt-cost-coeff","SLRrate","green-org","starting-temp","look-ahead-blue","dev-discount-red","time-btw-buy-blue","blue-org","run-time","profit-threshold-red","sell-bonus-red","dev-discount-blue","time-btw-buy-red","dev-discount-green","max-base-cost","time-btw-buy-green","look-ahead-green","profit-threshold-blue","profit-threshold-green","look-ahead-red","max-altitude","sell-bonus-blue","sell-bonus-green","red-org","min-base-cost","[step]","sum [money] of farm-orgs with [org-color = red]","sum [money] of farm-orgs with [org-color = blue]","sum [money] of farm-orgs with [org-color = green]","sum [farm-agri-output] of farms with [color = red]","sum [farm-agri-output] of farms with [color = blue]","sum [farm-agri-output] of farms with [color = green]"
"1","2","0","true","26","80","0.48","15","true","300","0","1","0","15","0","10000","15","20","0","0","30","25","1","1","true","5000","2","-4048.5518236263647","-10047.24300775044","-6156.052539548735","37.33281063736343","44.409032558289645","39.83749604512664"
"2","2","0.0033","true","26","80","0.48","15","true","300","0","1","0","15","0","10000","15","20","0","0","30","25","1","1","true","5000","13","482.74833302265904","-3071.8244117728573","-485.8789077705116","52.78336537183874","43.8506665756913","27.437153493961826"
"4","2","0.0088","true","26","80","0.48","15","true","300","0","1","0","15","0","10000","15","20","0","0","30","25","1","1","true","5000","5","-2730.6911972199373","-10586.207682258833","-1695.6246155476292","40.07302615859318","54.53974285223478","17.841478998502776"
"2","2","0.0033","true","26","80","0.48","15","true","300","0","1","0","15","0","10000","15","20","0","0","30","25","1","1","true","5000","14","1010.5209773258895","-2633.378005050726","-211.56048454708412","52.777264430323044","43.844640672213124","27.43184232234275"
"3","2","0.0062","true","26","80","0.48","15","true","300","0","1","0","15","0","10000","15","20","0","0","30","25","1","1","true","5000","5","-1453.073858128986","-8082.624530629321","-2323.6614445216633","31.464692064961028","37.85344500151999","19.946429741816324"
"4","2","0.0088","true","26","80","0.48","15","true","300","0","1","0","15","0","10000","15","20","0","0","30","25","1","1","true","5000","6","-2330.102642483395","-10040.989716541217","-1517.3405211787194","40.05885547365425","54.52179657176165","17.82840943689099"
"2","2","0.0033","true","26","80","0.48","15","true","300","0","1","0","15","0","10000","15","20","0","0","30","25","1","1","true","5000","15","1538.2326144285612","-2194.9918556061857","62.70482800729275","52.771163710267174","43.838614944454044","27.426531255437688"
"4","2","0.0088","true","26","80","0.48","15","true","300","0","1","0","15","0","10000","15","20","0","0","30","25","1","1","true","5000","7","-1929.655783069659","-9495.951197622137","-1339.187117348549","40.04468594137358","54.50385189190811","17.815340383017034"
"1","2","0","true","26","80","0.48","15","true","300","0","1","0","15","0","10000","15","20","0","0","30","25","1","1","true","5000","3","-3675.2237172527302","-9603.152682167543","-5757.677579097468","37.33281063736343","44.409032558289645","39.83749604512664"
"4","2","0.0088","true","26","80","0.48","15","true","300","0","1","0","15","0","10000","15","20","0","0","30","25","1","1","true","5000","8","-1529.3506074570914","-8951.092109501711","-1161.164398982523","40.030517561256765","54.48590881204251","17.802271836602618"
"3","2","0.0062","true","26","80","0.48","15","true","300","0","1","0","15","0","10000","15","20","0","0","30","25","1","1","true","5000","6","-1138.5253346645648","-7704.188683259783","-2124.2960367521964","31.45485234644214","37.843584736953844","19.936540776946693"
"2","2","0.0033","true","26","80","0.48","15","true","300","0","1","0","15","0","10000","15","20","0","0","30","25","1","1","true","5000","16","-1706.91123345502","-12209.610211682339","-1579.482469060444","97.30858372241897","107.99370373246559","42.50038041806751"
"4","2","0.0088","true","26","80","0.48","15","true","300","0","1","0","15","0","10000","15","20","0","0","30","25","1","1","true","5000","9","-1129.187104128996","-8406.412436186378","-983.2723610088269","40.016350332809544","54.467967331533245","17.789203797369606"
"2","2","0.0033","true","26","80","0.48","15","true","300","0","1","0","15","0","10000","15","20","0","0","30","25","1","1","true","5000","17","-733.9537319631688","-11129.80903757415","-1154.5745818328987","97.29575014918511","107.98011741081886","42.490788722754516"
"4","2","0.0088","true","26","80","0.48","15","true","300","0","1","0","15","0","10000","15","20","0","0","30","25","1","1","true","5000","10","-729.1652615736193","-7861.912161688891","-805.5109983584273","40.002184255537664","54.45002744974872","17.77613626503997"
"2","2","0.0033","true","26","80","0.48","15","true","300","0","1","0","15","0","10000","15","20","0","0","30","25","1","1","true","5000","18","238.87543775517383","-10050.143722245826","-729.762609902764","97.28291697183425","107.96653153283233","42.48119719301347"
"3","2","0.0062","true","26","80","0.48","15","true","300","0","1","0","15","0","10000","15","20","0","0","30","25","1","1","true","5000","7","-824.075204104754","-7325.851433194831","-1925.029515841685","31.44501305598108","37.833725006495165","19.92665209105114"
"4","2","0.0088","true","26","80","0.48","15","true","300","0","1","0","15","0","10000","15","20","0","0","30","25","1","1","true","5000","11","-329.2850682841492","-7317.591270028317","-627.8803059650693","39.98801932894701","54.432089166057374","17.763069239335795"
"1","2","0","true","26","80","0.48","15","true","300","0","1","0","15","0","10000","15","20","0","0","30","25","1","1","true","5000","4","-3301.895610879096","-9159.062356584647","-5359.302618646201","37.33281063736343","44.409032558289645","39.83749604512664"
"2","2","0.0033","true","26","80","0.48","15","true","300","0","1","0","15","0","10000","15","20","0","0","30","25","1","1","true","5000","19","1211.5762796582367","-8970.614261261426","-305.04655161464905","97.27008419030629","107.95294609844001","42.47160582881149"
"3","2","0.0062","true","26","80","0.48","15","true","300","0","1","0","15","0","10000","15","20","0","0","30","25","1","1","true","5000","8","-509.7234621704637","-6947.612775095069","-1725.8618790014605","31.43517419342903","37.82386580997622","19.916763684022452"
"4","2","0.0088","true","26","80","0.48","15","true","300","0","1","0","15","0","10000","15","20","0","0","30","25","1","1","true","5000","12","70.45348724128587","-6773.449745230039","-450.38027876527565","39.973855552543505","54.414152479827735","17.750002719979364"
"2","2","0.0033","true","26","80","0.48","15","true","300","0","1","0","15","0","10000","15","20","0","0","30","25","1","1","true","5000","20","2184.148797703647","-7891.220650185667","119.57359468650844","97.257251804541","107.9393611075759","42.46201463011575"
"3","2","0.0062","true","26","80","0.48","15","true","300","0","1","0","15","0","10000","15","20","0","0","30","25","1","1","true","5000","9","-195.47010458409102","-6569.472703622776","-1526.7931234439266","31.425335758637267","37.81400714722928","19.906875555753395"
"4","2","0.0088","true","26","80","0.48","15","true","300","0","1","0","15","0","10000","15","20","0","0","30","25","1","1","true","5000","13","470.0504164996181","-6229.487571325756","-273.0109116983456","39.959692925833224","54.39621739042828","17.736936706693008"
"2","2","0.0033","true","26","80","0.48","15","true","300","0","1","0","15","0","10000","15","20","0","0","30","25","1","1","true","5000","21","3156.5929958484294","-6811.962884583927","544.0978306554421","97.24441981447828","107.92577656017401","42.45242359689337"
"3","2","0.0062","true","26","80","0.48","15","true","300","0","1","0","15","0","10000","15","20","0","0","30","25","1","1","true","5000","10","118.68487293047951","-6191.431213441909","-1327.823246382558","31.415497751457053","37.804149018086704","19.896987706136848"
"4","2","0.0088","true","26","80","0.48","15","true","300","0","1","0","15","0","10000","15","20","0","0","30","25","1","1","true","5000","14","869.5057309828408","-5685.70473235348","-95.77219970635306","39.94553144832227","54.37828389722763","17.72387119919925"
"2","2","0.0033","true","26","80","0.48","15","true","300","0","1","0","15","0","10000","15","20","0","0","30","25","1","1","true","5000","22","4128.908878049008","-5732.840960022244","968.5261579465572","97.23158822005789","107.91219245616836","42.44283272911151"
"3","2","0.0062","true","26","80","0.48","15","true","300","0","1","0","15","0","10000","15","20","0","0","30","25","1","1","true","5000","11","432.7414746478767","-5813.488299218101","-1128.9522450319018","31.405660171739722","37.79429142238081","19.887100135065616"
"1","2","0","true","26","80","0.48","15","true","300","0","1","0","15","0","10000","15","20","0","0","30","25","1","1","true","5000","5","-2928.5675045054613","-8714.972031001751","-4960.927658194934","37.33281063736343","44.409032558289645","39.83749604512664"
"4","2","0.0088","true","26","80","0.48","15","true","300","0","1","0","15","0","10000","15","20","0","0","30","25","1","1","true","5000","15","1268.819442178009","-5142.101212357536","81.33586226585453","39.93137111951684","54.3603519995944","17.71080619722076"
"2","2","0.0033","true","26","80","0.48","15","true","300","0","1","0","15","0","10000","15","20","0","0","30","25","1","1","true","5000","23","5101.096448261205","-4653.854872067314","1392.8585782139303","97.21875702121974","107.89860879549298","42.43324202673731"
"3","2","0.0062","true","26","80","0.48","15","true","300","0","1","0","15","0","10000","15","20","0","0","30","25","1","1","true","5000","12","746.6997048412431","-5435.6439556186615","-930.1801166075757","31.395823019336643","37.784434359943994","19.877212842432613"
"1","2","0","true","26","80","0.48","15","true","300","0","1","0","15","0","10000","15","20","0","0","30","25","1","1","true","5000","6","-2555.239398131827","-8270.881705418855","-4562.5526977436675","37.33281063736343","44.409032558289645","39.83749604512664"
"2","2","0.0033","true","26","80","0.48","15","true","300","0","1","0","15","0","10000","15","20","0","0","30","25","1","1","true","5000","24","6073.155710440242","-3575.0046162864955","1817.0950931113098","97.20592621790364","107.88502557808187","42.423651489737935"
"3","2","0.0062","true","26","80","0.48","15","true","300","0","1","0","15","0","10000","15","20","0","0","30","25","1","1","true","5000","13","1060.5595677822348","-5057.898177312575","-731.5068583262678","31.385986294099176","37.77457783060862","19.867325828130788"
"4","2","0.0088","true","26","80","0.48","15","true","300","0","1","0","15","0","10000","15","20","0","0","30","25","1","1","true","5000","16","-1809.8026284327593","-14777.39866205523","-6056.673387396009","79.23679413511269","113.2098442561586","58.17035993596224"
"2","2","0.0033","true","26","80","0.48","15","true","300","0","1","0","15","0","10000","15","20","0","0","30","25","1","1","true","5000","25","7045.086668540736","-2496.290188247805","2241.235704292115","97.19309581004943","107.87144280386906","42.41406111808053"
"3","2","0.0062","true","26","80","0.48","15","true","300","0","1","0","15","0","10000","15","20","0","0","30","25","1","1","true","5000","14","1374.3210677410227","-4680.250958970503","-532.9324674057368","31.376149995878798","37.764721834207165","19.857439092053102"
"1","2","0","true","26","80","0.48","15","true","300","0","1","0","15","0","10000","15","20","0","0","30","25","1","1","true","5000","7","-2181.9112917581924","-7826.791379835959","-4164.177737292401","37.33281063736343","44.409032558289645","39.83749604512664"
"4","2","0.0088","true","26","80","0.48","15","true","300","0","1","0","15","0","10000","15","20","0","0","30","25","1","1","true","5000","17","-1017.7461005808912","-13645.672449022411","-5475.28362312422","79.2056527851868","113.17262130328176","58.138976427178875"
"2","2","0.0033","true","26","80","0.48","15","true","300","0","1","0","15","0","10000","15","20","0","0","30","25","1","1","true","5000","26","8016.889326516706","-1417.7115835199188","2665.280413409438","97.180265797597","107.85786047278863","42.404470911732325"
"3","2","0.0062","true","26","80","0.48","15","true","300","0","1","0","15","0","10000","15","20","0","0","30","25","1","1","true","5000","15","1687.984208986292","-4302.702295264783","-334.45694106481125","31.36631412452693","37.75486637057204","19.84755263409256"
"1","2","0","true","26","80","0.48","15","true","300","0","1","0","15","0","10000","15","20","0","0","30","25","1","1","true","5000","8","-1808.5831853845582","-7382.7010542530625","-3765.8027768411343","37.33281063736343","44.409032558289645","39.83749604512664"
"4","2","0.0088","true","26","80","0.48","15","true","300","0","1","0","15","0","10000","15","20","0","0","30","25","1","1","true","5000","18","-226.00096393985814","-12514.318432286818","-4894.207677829095","79.1745136641033","113.1354016735593","58.10759452951254"
"2","2","0.0033","true","26","80","0.48","15","true","300","0","1","0","15","0","10000","15","20","0","0","30","25","1","1","true","5000","27","8988.563688321567","-339.2687976721736","3089.229222116043","97.16743618048613","107.84427858477453","42.39488087066046"
"1","2","0","true","26","80","0.48","15","true","300","0","1","0","15","0","10000","15","20","0","0","30","25","1","1","true","5000","9","-1435.255079010924","-6938.610728670166","-3367.427816389868","37.33281063736343","44.409032558289645","39.83749604512664"
"4","2","0.0088","true","26","80","0.48","15","true","300","0","1","0","15","0","10000","15","20","0","0","30","25","1","1","true","5000","19","565.432803768553","-11383.336578630006","-4313.44553540773","79.14337677084112","113.09818536568132","58.0762142421365"
"2","2","0.0033","true","26","80","0.48","15","true","300","0","1","0","15","0","10000","15","20","0","0","30","25","1","1","true","5000","28","9960.109757908134","739.0381737254345","3513.082132064364","97.15460695865673","107.83069713976082","42.38529099483211"
"3","2","0.0062","true","26","80","0.48","15","true","300","0","1","0","15","0","10000","15","20","0","0","30","25","1","1","true","5000","16","-1235.3761242147575","-15958.731347536093","-10875.599859856724","68.03185795705365","90.63744022505728","84.58994753571946"
"4","2","0.0088","true","26","80","0.48","15","true","300","0","1","0","15","0","10000","15","20","0","0","30","25","1","1","true","5000","20","1356.5552248123456","-10252.726854846627","-3732.9971797654875","79.11224210437928","113.0609723783379","58.04483556422423"
