x,y,HeightError,PredictedHeight,TrueHeight
243993.74,699221.35,0.00494182749149664,18.572760789871214,18.665
247173.54,699054.05,0.04008112206743196,15.603296993255615,15.002
241995.69,700088.22,0.014843121616428907,30.554896705627442,30.108
243664.58,703657.15,0.08623149828718252,9.865044744491577,10.796
247825.49,694252.08,0.09992466244179644,17.245718782424927,15.679
243857.84,698845.28,0.026414170165188034,20.896766090393065,20.359
247668.33,699588.4,0.044169774677118835,12.244185186386108,12.81
244171.77,708391.12,0.10721101638393518,9.91507465171814,8.955
246187.48,699619.66,0.1331013612667479,12.336074520111085,10.887
245156.69,700332.97,0.08671267242414873,19.78469091415405,18.206
242729.74,706196.21,0.24642154470725228,7.381308387756348,5.922
242991.65,699406.95,0.04626656571882294,13.36943528175354,14.018
248757.86,693935.57,0.027137560056648836,15.020859678268433,14.624
242296.18,699354.61,0.10996170144304286,6.427856592178345,7.222
248435.55,696357.29,0.0020054595210014952,18.46589298248291,18.503
245253.29,700515.74,0.020286191864854138,16.30009220123291,15.976
248877.61,698578.81,0.04338589457506685,16.769298097610474,16.072
244199.2,700453.25,0.2547809974179818,13.408725513458252,17.993
248457.15,696352.7,0.21677837994316293,15.358975969314574,19.61
249522.57,694445.94,0.10004436329582318,21.33344836807251,23.705
241073.14,698063.83,0.035746187712363826,24.558580345153807,25.469
247290.04,699747.78,0.07312160571580402,9.869499407768249,9.197
242763.57,699528.06,0.03797472095647392,18.59402459335327,19.328
246561.78,696300.68,0.2635446590927751,5.334685550689697,4.222
243100.04,699523.31,0.030142116272323792,10.744382272720337,10.43
242966.55,698764.59,0.0886567980682249,21.0742182970047,19.358
245861.41,695550.89,0.02386743652969236,13.620953790664673,13.954
249890.43,699130.92,0.21599604774903755,13.548627964019776,11.142
248403.13,694241.97,0.07936484656372032,17.621877471923828,19.141
243829.63,702915.63,0.09497412504665746,8.552842890739441,7.811
243328.76,704854.87,0.15653760827037008,8.34557538127899,7.216
245251.0,698026.02,0.017942135506319273,13.226122166633607,12.993
243792.22,698590.88,0.0921240635369268,9.8367614402771,9.007
243518.86,703880.19,0.07978825084424757,16.73773150539398,18.189
