x,y,CrownAreaError,PredictedArea,TrueArea
241643.45,698315.12,0.5530107925678122,15.555224,34.8
248065.17,694507.97,0.2725526875463026,14.76718,20.3
246832.85,699474.76,0.6117123460347674,17.550602,45.2
243324.39,703830.57,0.3974743343534924,12.653039,21.0
246871.76,696504.36,0.8854916221217105,17.91217,9.5
245890.5,695767.4,0.7308724541817943,13.348726,49.6
248826.51,697595.0,0.0941665928538252,13.458249,12.3
242202.59,703927.51,0.5667317883319447,14.1678705,32.7
249456.5,696930.33,0.44400139344044215,13.010367,23.4
246884.85,698304.64,0.8476868379938851,9.48911,62.3
248247.65,696052.56,0.6639175969232369,13.880203,41.3
249761.17,699950.66,0.6050358045668829,13.482301,8.4
244204.14,698581.59,0.7164437097155737,14.149459,49.9
243445.32,705263.76,0.48269217761594857,13.86385,26.8
243107.5,698990.31,0.03241008260975713,11.872716,11.5
243307.11,703314.28,0.727140973354208,12.660659,46.4
244662.08,696107.9,0.7236034781498918,14.123862,51.1
249606.64,698998.09,0.29354128383454825,11.868506,16.8
249362.1,696605.05,0.5949893789662068,11.461801,28.3
242752.96,708677.58,0.03527653859760943,16.110882,16.7
249783.01,693773.4,0.19922852516174316,14.390742,12.0
242939.55,699026.72,0.6594822158989675,14.74442,43.3
249977.25,695852.72,0.95402650272145,13.28738,6.8
248818.82,696996.21,0.790777537287498,10.251901,49.0
245933.42,696074.75,0.6598111258612739,11.6344595,34.2
245076.06,695323.83,0.7242190621115945,16.988106,61.6
242191.87,703027.21,0.5287253145585981,10.745063,22.8
244121.55,700758.98,0.6337678402285032,12.906766,7.9
244490.16,698130.74,0.13054886198880375,12.888257,11.4
246498.05,699627.95,0.5268157336502394,11.309104,23.9
244454.58,699228.83,0.6781208310808454,11.265771,35.0
244389.31,696006.85,0.6043495869073342,15.074281,38.1
249475.53,697308.29,0.36334331339769405,15.4707575,24.3
248680.69,696453.03,0.43616390228271484,13.532066,24.0
247748.53,697271.84,0.42361792293163614,12.565129,21.8
241719.22,698404.18,0.2744822143226542,13.494631,18.6
246036.74,698600.61,0.07322684989487832,12.986045,12.1
249219.24,696287.76,2.968290205924742,12.3017,3.1
249611.0,697438.85,0.11614411618529244,13.282115,11.9
248038.76,694290.94,0.5129008633749825,13.638776,28.0
248372.86,695393.52,0.5810739703294708,12.964807,8.2
247208.53,694561.77,0.6134834188632864,14.610327,37.8
244752.19,700777.07,0.3738788059779576,10.957121,17.5
246264.46,698996.66,0.6116366753211389,7.573085,19.5
249497.44,698954.21,0.5889539151286268,14.509927,35.3
243668.49,698512.26,0.6719759136604863,11.743262,35.8
248629.46,694064.0,2.7308452242896673,15.66955,4.2
245189.16,699662.44,0.6794857656149039,12.788518,39.9
247381.28,698960.6,0.8012393069069141,14.350522,72.2
244313.07,699268.09,0.7299888618754153,13.014537,48.2
247143.94,699624.43,0.3312993088388831,16.450037,24.6
243117.65,698341.22,0.7899185222015794,15.504013,73.8
243320.59,698950.32,0.4389964095593849,19.803427,35.3
248717.08,699523.29,0.3113238016764323,15.735886,12.0
248202.19,695300.15,0.6604871179953039,8.521773,25.1
242722.19,700485.43,0.2768373742567755,16.343475,22.6
245229.73,695250.55,0.907795373495523,14.690024,7.7
247413.81,696753.8,0.20495921418867036,10.415034,13.1
247972.95,697161.3,0.11525450295549092,13.71763,12.3
244783.25,695342.0,0.7367579892555379,12.714589,48.3
241085.77,707700.23,0.19953319761488178,8.645041,10.8
243081.31,699160.85,0.6826384436223925,15.3920355,48.5
249703.27,696685.04,0.4405901333517279,13.537719,24.2
243132.84,704685.81,0.611234234517657,16.367039,42.1
247619.91,695740.89,0.5076805497535785,14.228032,28.9
246323.26,698527.2,0.19743042325348828,18.378843,22.9
241776.25,699373.55,0.00979212942840051,17.130596,17.3
243608.55,699599.76,0.44192486717587426,17.579367,31.5
247570.0,697130.22,0.27203445207505,12.229821,16.8
248069.76,694108.6,0.6984861015501084,13.9600935,46.3
