x,y,HeightError,PredictedHeight,TrueHeight
243719.61,699013.63,0.13826962437898777,9.605708497047424,11.147
242904.67,699428.85,0.1783320442804891,16.64617111492157,20.259
241326.86,700646.89,0.05628255939143017,36.19816986942291,38.357
242857.44,699472.37,0.15817601111705593,23.846348133087158,28.327
242043.72,702894.28,0.06612111291756688,9.164377086639405,8.596
244373.92,701553.61,0.39439248427366597,7.395857736587525,5.304
248945.39,693626.15,0.0050256690110305775,15.030082243919372,15.106
245809.14,699857.76,0.05747592322485369,15.518658924102784,16.465
242817.74,701607.52,0.045179341640571885,8.232877674102784,7.877
244934.71,700224.39,0.012364512250096217,19.315187233924867,19.557
248135.7,695039.31,0.05393356330236955,11.35090510749817,11.998
243461.39,700017.54,0.10700063073849651,9.410612361907958,8.501
245291.53,695312.42,0.023602637081181498,11.075380533218384,10.82
242815.71,704609.3,0.014540786847953433,10.710507086753845,10.557
247729.84,695684.94,0.11235360251645449,10.45056209564209,9.395
248259.33,696665.12,0.006584414276000442,23.291356761932374,23.139
247771.97,698136.95,0.04767971397670077,21.05675384426117,22.111
242758.51,708831.55,0.011794285312775639,7.841405711174011,7.75
248894.45,699659.6,0.27499517909510174,7.5594464168548585,5.929
243614.68,700031.42,0.025035915645301783,8.093683589935303,7.896
244938.42,695278.71,0.09233157348465652,8.285197397232055,9.128
248892.17,697196.59,0.07610226393108789,17.606719156265257,19.057
248207.04,696237.48,0.11112324634547609,11.58650848388672,13.035
247731.75,698679.48,0.020988654705300657,20.230890192985534,19.815
243541.69,698472.29,0.01158844280409359,11.013163376808167,10.887
244498.94,698318.36,0.2770098478933557,5.916386625289917,4.633
248015.16,696933.26,0.11209640543315168,11.741637134552002,13.224
248655.33,699814.38,0.026987838693692267,11.427293681144715,11.127
241988.31,701101.65,0.23627489517255015,10.27515756034851,13.454
243919.41,698665.83,0.3757509786418291,7.650171756744385,12.255
242229.32,699260.11,0.04712436147156945,14.976346410751344,15.717
243539.68,701852.83,0.15899836422836122,19.520488967895506,23.211
244751.29,701026.19,0.28876587040954727,12.397927673339844,9.62
247925.19,698141.25,0.013266926539926567,25.294182287216188,24.963
247149.69,699860.62,0.19547211483445157,14.900660961151123,18.521
244634.19,701841.11,0.10314246210580341,27.213348272323607,30.343
241382.08,705256.98,0.02420397713213606,32.57992851257325,31.81
243315.05,698822.36,0.07346240314743936,18.831750938415528,17.543
249626.7,695835.16,0.03300861116617739,24.927530796051027,24.131
241477.61,699682.78,0.048800367374695175,15.715224704742432,14.984
242899.12,699389.25,0.01792959640713416,19.64926463508606,20.008
244174.67,703675.7,0.11933714428356919,8.092410981178283,9.189
243470.22,698580.05,0.20528427848929157,16.866251757621765,21.223
242176.4,701613.47,0.46024145914001824,8.76582947921753,6.003
249644.8,695843.71,0.0306528428493893,23.948690864562987,24.706
242508.64,702066.64,0.004479402124214144,14.844207634925842,14.911
241563.4,701354.33,0.012150969041748677,8.657508907318114,8.764
245098.58,696341.1,0.08116437560264166,16.30503994846344,15.081
245179.13,698598.01,0.03521747956337842,15.684469434738158,16.257
243466.96,705438.26,0.09320281886706867,7.798908909797668,7.134
241838.97,701787.01,0.027444243117622048,22.930919635772707,23.578
241476.15,698394.08,0.0269409069572912,9.96120593547821,10.237
242432.14,702721.57,0.22456610154751627,7.312341662406921,9.43
246825.62,697484.88,0.0467450309798176,18.02180919837952,17.217
242911.01,698580.92,0.12535032129138188,24.402096366882326,21.684
245184.84,696055.86,0.08704766406352905,10.288972826004027,11.27
244778.96,701934.75,0.09786818087589695,14.461119678497315,13.172
248142.63,699551.71,0.1719743193238281,11.861552085876465,10.121
248465.22,697161.64,0.14293737208670262,17.247528324127195,20.124
247058.42,695593.41,0.15522094519039234,11.056468269348144,13.088
242804.38,700096.78,0.012934568073814812,13.842763807296754,13.666
242981.08,699721.64,0.0030422016656465136,11.240090911865234,11.206
243436.95,703473.99,0.21310264940718013,5.938714304924011,7.547
242511.57,699957.52,0.053210034093375415,17.14836577510834,16.282
246211.92,699640.96,0.04740858496485088,7.815059968948364,8.204
249272.45,697772.17,0.2954218944295536,7.48050574684143,10.617
248165.56,695173.94,0.09382517452710713,8.465113025665282,7.739
248371.39,696712.06,0.14197716298467358,11.351642133712769,13.23
242882.7,700012.81,0.13985984634494078,7.902107591629028,9.187
243643.44,704010.49,0.06734379729619708,21.538997829437257,20.18
249789.62,699581.7,0.10920884875835674,22.1611022605896,24.878
248971.3,693647.9,0.022696647817094823,15.295774765014649,15.651
243126.35,701330.72,0.31544373066526976,6.75743444442749,5.137
248489.22,696969.03,0.09523965048816771,21.438220918655396,19.574
244170.07,697895.86,0.6742428947512338,6.827562524795532,4.078
244798.95,695603.17,0.013170389395362836,13.820548696517944,14.005
247099.25,699650.13,0.0021537072899033955,8.141427902221679,8.159
242778.93,705286.64,0.09123699477860964,8.749570214271547,9.628
245051.98,695536.27,0.01719512889942656,10.979896019935607,11.172
249605.91,697408.4,0.13308660109362622,16.106826034545897,14.215
246336.87,699378.88,0.22053934945750367,9.693372650146484,12.436
243274.26,704964.97,0.024182217601432493,16.890429995536806,17.309
247107.47,699551.06,0.13315319382878898,6.539492305755616,7.544
244066.98,703975.55,0.0015771068094348575,13.129261045455932,13.15
245450.85,697730.75,0.06575366668477582,7.013387224197388,7.507
249283.45,696985.48,0.1453923736204275,20.42234602165222,17.83
248545.17,694251.82,0.05485358331662171,25.466025051116944,26.944
248936.09,693850.05,0.045280658640682224,19.903988828659056,20.848
241374.19,706428.09,0.3204582940534908,8.934220817565919,6.766
247510.61,699124.02,0.028689876298147204,15.438003106117248,15.894
248551.31,696652.51,0.10705534378133302,9.859001949310302,11.041
249262.11,696257.51,0.044310574014664636,17.803406665802,17.048
248950.37,696009.5,0.22139600063619394,7.9964796161651615,6.547
244237.35,704135.09,0.0608789924269753,17.52996447086334,16.524
243354.37,704093.98,0.09863364222770354,21.25965961074829,19.351
243069.02,701224.23,0.04781714920591012,9.056211093902588,9.511
243117.19,700584.77,0.06335537592139136,28.244845495224,26.562
245234.03,695360.79,0.056932053391973006,13.352222630500794,12.633
243076.42,699437.06,0.01728794276469575,17.949235725402833,18.265
247364.77,699607.59,0.445963524220168,6.797474527359009,4.701
245930.4,696071.42,0.0978277929865694,8.949492168426513,8.152
244314.14,698759.82,0.08033066099874965,25.275272443771364,27.483
248212.85,698780.22,0.21167462955707292,11.954165917396546,15.164
