x,y,CrownAreaError,PredictedArea,TrueArea
243049.71,699747.78,0.5110858371253292,25.96134204864502,53.1
247634.11,695731.55,1.567491421332726,26.70191078186035,10.4
247376.76,699690.35,3.243941497802734,19.097736740112303,4.5
243547.01,698787.28,0.5636086044730723,28.457676601409915,18.2
248009.71,696903.48,0.09109077872810796,24.813221740722653,27.3
243286.09,699725.61,0.36500641689208396,26.288734340667723,41.4
247065.96,695665.5,0.7031163316432052,20.948330879211426,12.3
245768.67,695627.33,0.17003291746529414,21.177595806121825,18.1
241894.75,704662.69,0.8343519166458483,23.663139724731444,12.9
241006.59,707726.28,0.5312753882111804,27.103574371337892,17.7
245331.44,697478.79,0.2876924577965794,23.648610401153565,33.2
243603.29,703155.93,0.8263982757320248,22.464698791503906,12.3
241657.08,705725.17,0.13602439278648015,29.02958040237427,33.6
245399.4,696067.27,1.7300637592779142,29.21168222427368,10.7
241031.9,698030.31,0.38302067243135896,24.062193775177,39.0
242167.9,705999.02,0.37639099862569436,24.38311195373535,39.1
248461.25,696305.15,0.012919881290063006,26.256331157684325,26.6
249865.72,699527.68,0.5986706231321608,26.9693341255188,67.2
249177.46,697794.3,1.4597192278095321,25.089136123657227,10.2
243543.82,699489.71,0.11804476395029155,22.69630870819092,20.3
241916.02,704469.15,0.5015143306776025,26.126349353790282,17.4
248458.23,694068.51,0.060912991979439335,19.063466262817382,20.3
246829.99,697318.86,0.06573930046049616,22.32883071899414,23.9
244795.33,698287.47,0.16191390460516128,30.422525262832643,36.3
245139.32,696182.82,0.4330895981698668,30.381499481201175,21.2
241188.21,702636.67,0.34174008292947855,24.6189208984375,37.4
243159.38,704394.37,0.5645301051256133,28.56682510375977,65.6
244033.22,702677.88,0.48091776371002193,23.69468421936035,16.0
245510.23,696374.52,0.4958383004876632,19.914387130737303,39.5
243208.07,701334.75,0.07659602910280228,27.56085834503174,25.6
245909.49,698131.03,0.42456022731920806,27.209100341796876,19.1
244100.84,703786.33,0.46885166924430427,33.342932891845706,22.7
245107.96,696161.56,0.039674350788499596,21.991457366943358,22.9
248880.05,693899.58,0.3103167750254398,16.414460754394533,23.8
249862.06,693431.59,0.3258132540661356,31.012590312957762,46.0
241065.87,709424.24,0.7405514580862863,24.36772041320801,14.0
247713.61,696317.99,0.07757394849466333,24.460928630828857,22.7
241392.93,699475.6,0.614191643851144,27.006584930419923,70.0
248232.02,696775.45,0.5622539407624972,22.237499809265138,50.8
244159.99,704202.6,0.26693802761893737,21.918027877807617,17.3
245707.76,699987.23,0.42120815956429264,31.124458694458006,21.9
243323.55,703924.01,0.24521820280287002,33.96518087387085,45.0
